name,utilisation,date_authorisation,composition,group_generic
"PALUDRINE 100 mg, comprimé sécable ","Classe pharmacothérapeutique - code ATC : P01BA01 ANTIPALUDIQUE Le paludisme est une maladie parasitaire transmise par la piqûre d’un moustique vivant en zone tropicale. Le paludisme peut être très grave, il faut tout faire pour s’en protéger (voir Mises en garde spéciales). Ce médicament est prescrit le plus souvent en association à un autre médicament antipaludique à base de chloroquine notamment dans les zones où il existe des souches de parasites résistants à la chloroquine : Le classement des pays tropicaux au sein de ces groupes est mis à jour régulièrement. Se renseigner auprès de votre médecin et des services médicaux de conseils aux voyageurs.",18/07/1989,['proguanil (chlorhydrate de)'],
"PALONOSETRON REIG JOFRE 250 microgrammes, solution injectable ","Classe pharmacothérapeutique : Antiémétiques et antinauséeux, antagonistes de la sérotonine (5HT3), Code ATC : A04AA05. PALONOSETRON REIG JOFRE contient la substance active palonosétron. Celle-ci appartient à un groupe de médicaments appelés « antagonistes de la sérotonine (5-HT 3 ) ». PALONOSETRON REIG JOFRE est indiqué pour aider à arrêter les nausées (envie de vomir) et les vomissements chez les adultes, les adolescents et les enfants âgés de plus d’un mois qui reçoivent des traitements anticancéreux appelés chimiothérapies. Il agit en inhibant (bloquant) l’action d’une substance chimique appelée sérotonine, qui peut causer les nausées et vomissements.",17/08/2023,['palonosétron'],"PALONOSETRON (CHLORHYDRATE DE) équivalent à PALONOSETRON 50 microgrammes/mL - ALOXI 250 microgrammes, solution injectable"
"PALONOSETRON KALCEKS 250 microgrammes, solution injectable ","Classe pharmacothérapeutique : Antiémétiques et antinauséeux, antagonistes de la sérotonine (5HT3), Code ATC : A04AA05 PALONOSETRON KALCEKS contient la substance active palonosétron. Celle-ci appartient à un groupe de médicaments appelés « antagonistes de la sérotonine (5-HT3) ». PALONOSETRON KALCEKS est indiqué pour aider à arrêter les nausées (envie de vomir) et les vomissements chez les adultes, les adolescents et les enfants âgés de plus d’un mois qui reçoivent des traitements anticancéreux appelés chimiothérapies. Il agit en inhibant (bloquant) l’action d’une substance chimique appelée sérotonine, qui peut causer les nausées et vomissements.",23/09/2021,['palonosétron'],"PALONOSETRON (CHLORHYDRATE DE) équivalent à PALONOSETRON 50 microgrammes/mL - ALOXI 250 microgrammes, solution injectable"
"PALONOSETRON ACCORD 250 microgrammes, solution injectable ",,26/05/2016,['palonosétron'],"PALONOSETRON (CHLORHYDRATE DE) équivalent à PALONOSETRON 50 microgrammes/mL - ALOXI 250 microgrammes, solution injectable"
"PALLADIUM METALLICUM LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH ",,16/10/2019,"['palladium metallicum pour préparations homéopathiques', 'palladium pour préparations homéopathiques']",
"PALLADIUM METALLICUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH ",,25/10/2019,"['palladium metallicum pour préparations homéopathiques', 'palladium pour préparations homéopathiques']",
"PALIURUS ACULEATUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH ",,08/06/2020,['paliurus aculeatus pour préparations homéopathiques'],
"PALIPERIDONE TEVA 75 mg, suspension injectable à libération prolongée ","PALIPERIDONE TEVA contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut instaurer le traitement par PALIPERIDONE TEVA sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE TEVA peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",25/06/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 75 mg - XEPLION 75 mg, suspension injectable à libération prolongée"
"PALIPERIDONE TEVA 150 mg, suspension injectable à libération prolongée ","PALIPERIDONE TEVA contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut instaurer le traitement par PALIPERIDONE TEVA sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE TEVA peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",25/06/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 150 mg - XEPLION 150 mg, suspension injectable à libération prolongée"
"PALIPERIDONE TEVA 100 mg, suspension injectable à libération prolongée ","PALIPERIDONE TEVA contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut instaurer le traitement par PALIPERIDONE TEVA sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE TEVA peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",25/06/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 100 mg - XEPLION 100 mg, suspension injectable à libération prolongée"
"PALIPERIDONE BIOGARAN 75 mg, suspension injectable à libération prolongée en seringue préremplie ","PALIPERIDONE BIOGARAN contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut initier le traitement par PALIPERIDONE BIOGARAN sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE BIOGARAN peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",20/10/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 75 mg - XEPLION 75 mg, suspension injectable à libération prolongée"
"PALIPERIDONE BIOGARAN 50 mg, suspension injectable à libération prolongée en seringue préremplie ","PALIPERIDONE BIOGARAN contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut initier le traitement par PALIPERIDONE BIOGARAN sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE BIOGARAN peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",20/10/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 50 mg - XEPLION 50 mg, suspension injectable à libération prolongée"
"PALIPERIDONE BIOGARAN 25 mg, suspension injectable à libération prolongée en seringue préremplie ","PALIPERIDONE BIOGARAN contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut initier le traitement par PALIPERIDONE BIOGARAN sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE BIOGARAN peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",20/10/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 25 mg - XEPLION 25 mg, suspension injectable à libération prolongée"
"PALIPERIDONE BIOGARAN 150 mg, suspension injectable à libération prolongée en seringue préremplie ","PALIPERIDONE BIOGARAN contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut initier le traitement par PALIPERIDONE BIOGARAN sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE BIOGARAN peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",20/10/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 150 mg - XEPLION 150 mg, suspension injectable à libération prolongée"
"PALIPERIDONE BIOGARAN 100 mg, suspension injectable à libération prolongée en seringue préremplie ","PALIPERIDONE BIOGARAN contient la substance active palipéridone qui appartient à la classe des antipsychotiques et est utilisé dans le traitement d’entretien des symptômes de la schizophrénie chez les patients adultes stabilisés par la palipéridone ou la rispéridone. Si vous avez présenté une réponse à la palipéridone ou à la rispéridone dans le passé et avez des symptômes légers à modérés, votre médecin peut initier le traitement par PALIPERIDONE BIOGARAN sans stabilisation préalable par la palipéridone ou la rispéridone. La schizophrénie est une maladie avec des symptômes « positifs » et « négatifs ». Les symptômes positifs sont un excès de symptômes qui ne sont normalement pas présents. Par exemple, une personne atteinte de schizophrénie peut entendre des voix ou voir des choses qui ne sont pas là (appelées hallucinations), croire des choses qui ne sont pas vraies (appelées illusions), ou se sentir inhabituellement suspicieuse envers les autres. Les symptômes négatifs représentent une absence de comportements ou de sentiments qui sont normalement présents. Par exemple, une personne atteinte de schizophrénie peut sembler en retrait et peut ne manifester aucune réaction émotionnelle ou peut avoir des difficultés à parler de manière claire et logique. Les personnes atteintes de cette maladie peuvent également se sentir déprimées, anxieuses, coupables ou tendues. PALIPERIDONE BIOGARAN peut aider à soulager les symptômes de votre maladie et empêcher vos symptômes de revenir.",20/10/2021,['palipéridone'],"PALIPERIDONE (PALMITATE DE) équivalent à PALIPERIDONE 100 mg - XEPLION 100 mg, suspension injectable à libération prolongée"
"PALFORZIA 300 mg, poudre orale en sachet ",,17/12/2020,"[""protéines d'arachide""]",
"PALFORZIA 20 mg, poudre orale en gélule à ouvrir ",,17/12/2020,"[""protéines d'arachide""]",
"PALFORZIA 20 mg et 100 mg, poudre orale en gélule à ouvrir ",,17/12/2020,"[""protéines d'arachide""]",
"PALFORZIA 100 mg, poudre orale en gélule à ouvrir ",,17/12/2020,"[""protéines d'arachide""]",
"PALFORZIA 1 mg, poudre orale en gélule à ouvrir ",,17/12/2020,"[""protéines d'arachide""]",
"PALFORZIA 1 mg et 10 mg, poudre orale en gélule à ouvrir ",,17/12/2020,"[""protéines d'arachide""]",
"PALFORZIA 0,5 mg et 1 mg, poudre orale en gélule à ouvrir ",,17/12/2020,"[""protéines d'arachide""]",
"PALEXIA LP 50 mg, comprimé à libération prolongée ",Le tapentadol – la substance active contenue dans PALEXIA LP - est un antalgique puissant qui appartient à la classe des opioïdes. PALEXIA LP est utilisé pour le  traitement des douleurs chroniques sévères de l’adulte qui ne peuvent être traitées que par des antalgiques opioïdes.,03/10/2011,['tapentadol'],"TAPENTADOL (CHLORHYDRATE DE) equivalant à TAPENTADOL 50 mg - TAPENTADOL (TARTRATE DE) equivalant à TAPENTADOL 50 mg - PALEXIA LP 50 mg, comprimé à libération prolongée"
"PALEXIA LP 250 mg, comprimé à libération prolongée ",Le tapentadol – la substance active contenue dans PALEXIA LP - est un antalgique puissant qui appartient à la classe des opioïdes. PALEXIA LP est utilisé pour le  traitement des douleurs chroniques sévères de l’adulte qui ne peuvent être traitées que par des antalgiques opioïdes.,03/10/2011,['tapentadol'],"TAPENTADOL (CHLORHYDRATE DE) équivalant à TAPENTADOL 250 mg - TAPENTADOL (TARTRATE DE) équivalant à TAPENTADOL 250 mg - PALEXIA LP 250 mg, comprimé à libération prolongée"
